bar_index,time,open,high,low,close,volume
242,1770129000,269.2,271.875,267.61,269.48,64394655
243,1770215400,272.285,278.95,272.285,276.49,90545710
244,1770301800,278.13,279.5,273.23,275.91,52977441
245,1770388200,277.12,280.905,276.925,278.12,50453414
246,1770647400,277.905,278.2,271.7,274.62,44623396
247,1770733800,274.885,275.37,272.94,273.68,34376898
248,1770820200,274.695,280.18,274.45,275.5,51931283
249,1770906600,275.59,275.72,260.18,261.73,81077229
250,1770993000,262.01,262.23,255.45,255.78,56290673
251,1771338600,258.05,266.29,255.54,263.88,58469094
252,1771425000,263.6,266.82,262.45,264.35,34203337
253,1771511400,262.6,264.48,260.05,260.58,30845294
254,1771597800,258.97,264.75,258.16,264.58,42070499
255,1771857000,263.49,269.43,263.381,266.18,37308155
256,1771943400,267.86,274.89,267.71,272.14,47014619
257,1772029800,271.78,274.94,271.05,274.23,33714342
258,1772116200,274.945,276.11,270.795,272.95,32345114
259,1772202600,272.81,272.81,262.89,264.18,72366505
260,1772461800,262.41,266.53,260.2,264.72,41827946
261,1772548200,263.48,265.56,260.13,263.75,38568921
262,1772634600,264.65,266.15,261.42,262.52,39803119
263,1772721000,260.79,261.555,257.25,260.29,49658626
264,1772807400,258.63,258.77,254.37,257.46,41120042
265,1773063000,255.69,261.15,253.6805,259.88,38218533
266,1773149400,257.645,262.48,256.95,260.83,30590765
267,1773235800,261.09,262.13,259.55,260.81,26218927
268,1773322200,258.66,258.95,254.18,255.76,40794020
269,1773408600,255.48,256.33,249.52,250.12,36929988
270,1773667800,252.105,253.885,249.88,252.82,32074209
271,1773754200,252.955,255.13,252.18,254.23,32361607
272,1773840600,252.625,254.94,249,249.94,35757874
273,1773927000,249.4,251.83,247.3,248.96,34864082
274,1774013400,247.975,249.1999,246,247.99,88331081
275,1774272600,253.97,254.6,250.28,251.49,40546109
276,1774359000,250.35,254.825,249.55,251.64,45152288
277,1774445400,254.095,255,251.6,252.62,28476668
278,1774531800,252.115,257,250.77,252.89,41796650
279,1774618200,253.9,255.493,248.07,248.8,47899998
280,1774877400,250.07,250.87,245.51,246.63,39446213
281,1774963800,247.91,255.48,247.101,253.79,49598091
282,1775050200,254.08,256.18,253.33,255.63,40059432
283,1775136600,254.2,256.13,250.65,255.92,31289369
284,1775482200,256.51,262.16,256.46,258.86,29329911
285,1775568600,256.155,256.2,245.7,253.5,62148008
286,1775655000,258.45,259.7499,256.53,258.9,41032772
287,1775741400,259,261.12,256.07,260.49,28121574
288,1775827800,259.98,262.19,259.023123,260.48,31291473
289,1776087000,259.73,260.18,256.66,259.2,36234698
290,1776173400,259.245,261.93,257.19,258.83,48370710
291,1776259800,258.16,266.56,257.81,266.43,49913510
292,1776346200,266.8,267.16,261.27,263.4,43323112
293,1776432600,266.96,272.3,266.72,270.23,61436228
294,1776691800,270.33,274.275,270.29,273.05,36590169
295,1776778200,271.5,272.8,265.4,266.17,50209755
296,1776864600,267.82,273.74,266.87,273.17,43249204
297,1776951000,275.045,275.77,271.65,273.43,33399639
298,1777037400,272.755,273.06,269.65,271.06,38157110
299,1777296600,266.09,268.36,265.07,267.62,41152955
