bar_index,tv_bar_time,tv_open,tv_high,tv_low,tv_close,tv_closedtrades_count,tv_position_size,tv_trade_no,tv_entry_bar_index,tv_exit_bar_index,tv_entry_price,tv_exit_price,tv_size,tv_profit
110,1753450200,1753450200000,214.7,215.24,213.4,213.88,0,0,,,,,,,
111,1753709400,1753709400000,214.03,214.845,213.06,214.05,0,0,,,,,,,
112,1753795800,1753795800000,214.175,214.81,210.82,211.27,0,0,,,,,,,
113,1753882200,1753882200000,211.895,212.39,207.72,209.05,0,0,,,,,,,
114,1753968600,1753968600000,208.49,209.84,207.16,207.57,0,0,,,,,,,
115,1754055000,1754055000000,210.865,213.58,201.5,202.38,0,0,,,,,,,
116,1754314200,1754314200000,204.505,207.88,201.675,203.35,0,0,,,,,,,
117,1754400600,1754400600000,203.4,205.34,202.16,202.92,0,0,,,,,,,
118,1754487000,1754487000000,205.63,215.38,205.59,213.25,0,0,,,,,,,
119,1754573400,1754573400000,218.875,220.85,216.58,220.03,0,0,,,,,,,
120,1754659800,1754659800000,220.83,231,219.25,229.35,0,0,,,,,,,
121,1754919000,1754919000000,227.92,229.56,224.76,227.18,0,0,,,,,,,
122,1755005400,1755005400000,228.005,230.8,227.07,229.65,0,0,,,,,,,
123,1755091800,1755091800000,231.07,235,230.43,233.33,0,0,,,,,,,
124,1755178200,1755178200000,234.055,235.12,230.85,232.78,0,0,,,,,,,
125,1755264600,1755264600000,234,234.28,229.335,231.59,0,0,,,,,,,
126,1755523800,1755523800000,231.7,233.12,230.11,230.89,0,0,,,,,,,
127,1755610200,1755610200000,231.275,232.87,229.35,230.56,0,0,,,,,,,
128,1755696600,1755696600000,229.98,230.47,225.77,226.01,0,0,,,,,,,
129,1755783000,1755783000000,226.27,226.52,223.7804,224.9,0,0,,,,,,,
130,1755869400,1755869400000,226.17,229.09,225.41,227.76,0,0,,,,,,,
131,1756128600,1756128600000,226.48,229.3,226.23,227.16,0,0,,,,,,,
132,1756215000,1756215000000,226.87,229.49,224.69,229.31,0,0,,,,,,,
133,1756301400,1756301400000,228.61,230.9,228.26,230.49,0,0,,,,,,,
134,1756387800,1756387800000,230.82,233.41,229.335,232.56,0,0,,,,,,,
135,1756474200,1756474200000,232.51,233.38,231.37,232.14,0,0,,,,,,,
136,1756819800,1756819800000,229.25,230.85,226.97,229.72,0,0,,,,,,,
137,1756906200,1756906200000,237.21,238.85,234.36,238.47,0,0,,,,,,,
138,1756992600,1756992600000,238.45,239.8999,236.74,239.78,0,0,,,,,,,
139,1757079000,1757079000000,239.995,241.32,238.4901,239.69,0,0,,,,,,,
140,1757338200,1757338200000,239.3,240.15,236.34,237.88,0,0,,,,,,,
141,1757424600,1757424600000,237,238.7805,233.36,234.35,0,0,,,,,,,
142,1757511000,1757511000000,232.185,232.42,225.95,226.79,0,0,,,,,,,
143,1757597400,1757597400000,226.875,230.45,226.65,230.03,0,0,,,,,,,
144,1757683800,1757683800000,229.22,234.51,229.02,234.07,0,0,,,,,,,
145,1757943000,1757943000000,237,238.19,235.03,236.7,0,0,,,,,,,
146,1758029400,1758029400000,237.175,241.22,236.3235,238.15,0,0,,,,,,,
147,1758115800,1758115800000,238.97,240.1,237.7301,238.99,0,0,,,,,,,
148,1758202200,1758202200000,239.97,241.2,236.65,237.88,0,0,,,,,,,
149,1758288600,1758288600000,241.225,246.3,240.2106,245.5,0,0,,,,,,,
150,1758547800,1758547800000,248.3,256.64,248.12,256.08,0,0,,,,,,,
151,1758634200,1758634200000,255.875,257.34,253.58,254.43,0,0,,,,,,,
152,1758720600,1758720600000,255.22,255.74,251.04,252.31,0,0,,,,,,,
153,1758807000,1758807000000,253.205,257.17,251.712,256.87,0,0,,,,,,,
154,1758893400,1758893400000,254.095,257.6,253.78,255.46,0,0,,,,,,,
155,1759152600,1759152600000,254.56,255,253.01,254.43,0,0,,,,,,,
156,1759239000,1759239000000,254.855,255.919,253.11,254.63,0,0,,,,,,,
157,1759325400,1759325400000,255.04,258.79,254.93,255.45,0,0,,,,,,,
158,1759411800,1759411800000,256.575,258.18,254.15,257.13,0,0,,,,,,,
159,1759498200,1759498200000,254.665,259.24,253.95,258.02,0,0,,,,,,,
160,1759757400,1759757400000,257.99,259.07,255.05,256.69,0,0,,,,,,,
161,1759843800,1759843800000,256.805,257.4,255.43,256.48,0,0,,,,,,,
162,1759930200,1759930200000,256.52,258.52,256.11,258.06,0,0,,,,,,,
163,1760016600,1760016600000,257.805,258,253.14,254.04,0,0,,,,,,,
164,1760103000,1760103000000,254.94,256.38,244,245.27,0,0,,,,,,,
165,1760362200,1760362200000,249.38,249.69,245.56,247.66,0,0,,,,,,,
166,1760448600,1760448600000,246.6,248.845,244.7,247.77,0,0,,,,,,,
167,1760535000,1760535000000,249.485,251.82,247.47,249.34,0,0,,,,,,,
168,1760621400,1760621400000,248.25,249.04,245.13,247.45,0,0,,,,,,,
169,1760707800,1760707800000,248.02,253.38,247.27,252.29,0,0,,,,,,,
170,1760967000,1760967000000,255.885,264.375,255.63,262.24,0,0,,,,,,,
171,1761053400,1761053400000,261.88,265.29,261.83,262.77,0,0,,,,,,,
172,1761139800,1761139800000,262.65,262.85,255.43,258.45,0,0,,,,,,,
