bar_index,time,time_W,time_close_W,sec_w_gaps_on_la_off,sec_w_gaps_off_la_off,sec_w_gaps_on_la_on,sec_w_gaps_off_la_on
230,1768487400,1768510800000,1768228200000,,259.37,,255.53
231,1768573800,1768597200000,1768228200000,255.53,255.53,,255.53
232,1768919400,1768942800000,1768919400000,,255.53,248.04,248.04
233,1769005800,1769029200000,1768919400000,,255.53,,248.04
234,1769092200,1769115600000,1768919400000,,255.53,,248.04
235,1769178600,1769202000000,1768919400000,248.04,248.04,,248.04
236,1769437800,1769461200000,1769437800000,,248.04,259.48,259.48
237,1769524200,1769547600000,1769437800000,,248.04,,259.48
238,1769610600,1769634000000,1769437800000,,248.04,,259.48
239,1769697000,1769720400000,1769437800000,,248.04,,259.48
240,1769783400,1769806800000,1769437800000,259.48,259.48,,259.48
241,1770042600,1770066000000,1770042600000,,259.48,278.12,278.12
242,1770129000,1770152400000,1770042600000,,259.48,,278.12
243,1770215400,1770238800000,1770042600000,,259.48,,278.12
244,1770301800,1770325200000,1770042600000,,259.48,,278.12
245,1770388200,1770411600000,1770042600000,278.12,278.12,,278.12
246,1770647400,1770670800000,1770647400000,,278.12,255.78,255.78
247,1770733800,1770757200000,1770647400000,,278.12,,255.78
248,1770820200,1770843600000,1770647400000,,278.12,,255.78
249,1770906600,1770930000000,1770647400000,,278.12,,255.78
250,1770993000,1771016400000,1770647400000,255.78,255.78,,255.78
251,1771338600,1771362000000,1771338600000,,255.78,264.58,264.58
252,1771425000,1771448400000,1771338600000,,255.78,,264.58
253,1771511400,1771534800000,1771338600000,,255.78,,264.58
254,1771597800,1771621200000,1771338600000,264.58,264.58,,264.58
255,1771857000,1771880400000,1771857000000,,264.58,264.18,264.18
256,1771943400,1771966800000,1771857000000,,264.58,,264.18
257,1772029800,1772053200000,1771857000000,,264.58,,264.18
258,1772116200,1772139600000,1771857000000,,264.58,,264.18
259,1772202600,1772226000000,1771857000000,264.18,264.18,,264.18
260,1772461800,1772485200000,1772461800000,,264.18,257.46,257.46
261,1772548200,1772571600000,1772461800000,,264.18,,257.46
262,1772634600,1772658000000,1772461800000,,264.18,,257.46
263,1772721000,1772744400000,1772461800000,,264.18,,257.46
264,1772807400,1772830800000,1772461800000,257.46,257.46,,257.46
265,1773063000,1773086400000,1773063000000,,257.46,250.12,250.12
266,1773149400,1773172800000,1773063000000,,257.46,,250.12
267,1773235800,1773259200000,1773063000000,,257.46,,250.12
268,1773322200,1773345600000,1773063000000,,257.46,,250.12
269,1773408600,1773432000000,1773063000000,250.12,250.12,,250.12
270,1773667800,1773691200000,1773667800000,,250.12,247.99,247.99
271,1773754200,1773777600000,1773667800000,,250.12,,247.99
272,1773840600,1773864000000,1773667800000,,250.12,,247.99
273,1773927000,1773950400000,1773667800000,,250.12,,247.99
274,1774013400,1774036800000,1773667800000,247.99,247.99,,247.99
275,1774272600,1774296000000,1774272600000,,247.99,248.8,248.8
276,1774359000,1774382400000,1774272600000,,247.99,,248.8
277,1774445400,1774468800000,1774272600000,,247.99,,248.8
278,1774531800,1774555200000,1774272600000,,247.99,,248.8
279,1774618200,1774641600000,1774272600000,248.8,248.8,,248.8
280,1774877400,1774900800000,1774877400000,,248.8,255.92,255.92
281,1774963800,1774987200000,1774877400000,,248.8,,255.92
282,1775050200,1775073600000,1774877400000,,248.8,,255.92
283,1775136600,1775160000000,1774877400000,255.92,255.92,,255.92
284,1775482200,1775505600000,1775482200000,,255.92,260.48,260.48
285,1775568600,1775592000000,1775482200000,,255.92,,260.48
286,1775655000,1775678400000,1775482200000,,255.92,,260.48
287,1775741400,1775764800000,1775482200000,,255.92,,260.48
288,1775827800,1775851200000,1775482200000,260.48,260.48,,260.48
289,1776087000,1776110400000,1776087000000,,260.48,270.23,270.23
290,1776173400,1776196800000,1776087000000,,260.48,,270.23
291,1776259800,1776283200000,1776087000000,,260.48,,270.23
292,1776346200,1776369600000,1776087000000,,260.48,,270.23
293,1776432600,1776456000000,1776087000000,270.23,270.23,,270.23
294,1776691800,1776715200000,1776691800000,,270.23,271.06,271.06
295,1776778200,1776801600000,1776691800000,,270.23,,271.06
296,1776864600,1776888000000,1776691800000,,270.23,,271.06
297,1776951000,1776974400000,1776691800000,,270.23,,271.06
298,1777037400,1777060800000,1776691800000,271.06,271.06,,271.06
299,1777296600,1777320000000,1777296600000,,266.27,266.27,266.27
